,abv,ibu,beer_name,style,ounces,brewery_name,city,state
0,0.05,26.75,Pub Beer,American Pale Lager,12.0,10 Barrel Brewing Company,Bend, OR
1,0.066,44.94117647058823,Devil's Cup,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
2,0.071,67.63455149501661,Rise of the Phoenix,American IPA,12.0,18th Street Brewery,Gary, IN
3,0.09,93.32,Sinister,American Double / Imperial IPA,12.0,18th Street Brewery,Gary, IN
4,0.075,67.63455149501661,Sex and Candy,American IPA,12.0,18th Street Brewery,Gary, IN
5,0.077,28.09090909090909,Black Exodus,Oatmeal Stout,12.0,18th Street Brewery,Gary, IN
6,0.045,44.94117647058823,Lake Street Express,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
7,0.065,31.923076923076923,Foreman,American Porter,12.0,18th Street Brewery,Gary, IN
8,0.055,44.94117647058823,Jade,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
9,0.086,93.32,Cone Crusher,American Double / Imperial IPA,12.0,18th Street Brewery,Gary, IN
10,0.072,28.39130434782609,Sophomoric Saison,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
11,0.073,28.39130434782609,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
12,0.069,28.39130434782609,Garce Selé,Saison / Farmhouse Ale,12.0,18th Street Brewery,Gary, IN
13,0.085,57.0,Troll Destroyer,Belgian IPA,12.0,18th Street Brewery,Gary, IN
14,0.061,60.0,Bitter Bitch,American Pale Ale (APA),12.0,18th Street Brewery,Gary, IN
15,0.06,40.912020006176114,Ginja Ninja,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
16,0.06,40.912020006176114,Cherried Away,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
17,0.06,40.912020006176114,Rhubarbarian,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
18,0.06,40.912020006176114,BrightCider,Cider,12.0,2 Towns Ciderhouse,Corvallis, OR
19,0.0819999999999999,54.0,He Said Baltic-Style Porter,Baltic Porter,12.0,21st Amendment Brewery,San Francisco, CA
20,0.0819999999999999,23.5,He Said Belgian-Style Tripel,Tripel,12.0,21st Amendment Brewery,San Francisco, CA
21,0.099,92.0,Lower De Boom,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
22,0.079,45.0,Fireside Chat,Winter Warmer,12.0,21st Amendment Brewery,San Francisco, CA
23,0.079,41.3125,Marooned On Hog Island,American Stout,12.0,21st Amendment Brewery,San Francisco, CA
24,0.044,42.0,Bitter American,American Pale Ale (APA),12.0,21st Amendment Brewery,San Francisco, CA
25,0.049,17.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
26,0.049,17.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
27,0.049,17.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
28,0.07,70.0,21st Amendment IPA (2006),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
29,0.07,70.0,Brew Free! or Die IPA (2008),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
30,0.07,70.0,Brew Free! or Die IPA (2009),American IPA,12.0,21st Amendment Brewery,San Francisco, CA
31,0.085,52.0,Special Edition: Allies Win The War!,English Strong Ale,12.0,21st Amendment Brewery,San Francisco, CA
32,0.0969999999999999,94.0,Hop Crisis,American Double / Imperial IPA,12.0,21st Amendment Brewery,San Francisco, CA
33,0.044,42.0,Bitter American (2011),American Pale Ale (APA),12.0,21st Amendment Brewery,San Francisco, CA
34,0.079,45.0,Fireside Chat (2010),Winter Warmer,12.0,21st Amendment Brewery,San Francisco, CA
35,0.068,65.0,Back in Black,American Black Ale,12.0,21st Amendment Brewery,San Francisco, CA
36,0.083,35.0,Monk's Blood,Belgian Dark Ale,12.0,21st Amendment Brewery,San Francisco, CA
37,0.07,65.0,Brew Free! or Die IPA,American IPA,12.0,21st Amendment Brewery,San Francisco, CA
38,0.049,17.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,21st Amendment Brewery,San Francisco, CA
39,0.07,82.0,Bimini Twist,American IPA,12.0,3 Daughters Brewing,St Petersburg, FL
40,0.05,20.983606557377048,Beach Blonde,American Blonde Ale,12.0,3 Daughters Brewing,St Petersburg, FL
41,0.059,36.298701298701296,Rod Bender Red,American Amber / Red Ale,12.0,3 Daughters Brewing,St Petersburg, FL
42,0.035,11.0,Passion Fruit Prussia,Berliner Weissbier,12.0,4 Hands Brewing Company,Saint Louis, MO
43,0.045,18.0,Send Help,American Blonde Ale,12.0,4 Hands Brewing Company,Saint Louis, MO
44,0.055,29.894736842105264,Cast Iron Oatmeal Brown,American Brown Ale,12.0,4 Hands Brewing Company,Saint Louis, MO
45,0.06,36.298701298701296,Reprise Centennial Red,American Amber / Red Ale,12.0,4 Hands Brewing Company,Saint Louis, MO
46,0.055,68.9,Alter Ego,American Black Ale,12.0,4 Hands Brewing Company,Saint Louis, MO
47,0.065,67.63455149501661,Divided Sky,American IPA,12.0,4 Hands Brewing Company,Saint Louis, MO
48,0.065,67.63455149501661,Resurrected,American IPA,12.0,4 Hands Brewing Company,Saint Louis, MO
49,0.05,28.0,Contact High,American Pale Wheat Ale,12.0,4 Hands Brewing Company,Saint Louis, MO
50,0.065,67.63455149501661,Galaxyfest,American IPA,16.0,450 North Brewing Company,Columbus, IN
51,0.05,45.0,Citrafest,American IPA,16.0,450 North Brewing Company,Columbus, IN
52,0.09,72.0,Barn Yeti,Belgian Strong Dark Ale,16.0,450 North Brewing Company,Columbus, IN
53,0.069,65.0,Scarecrow,American IPA,16.0,450 North Brewing Company,Columbus, IN
54,0.09,50.0,Ironman,English Strong Ale,16.0,450 North Brewing Company,Columbus, IN
55,0.046,15.0,Honey Kolsch,Kölsch,16.0,450 North Brewing Company,Columbus, IN
56,0.052,18.0,Copperhead Amber,Belgian Dark Ale,16.0,450 North Brewing Company,Columbus, IN
57,0.059,75.0,Rude Parrot IPA,American IPA,16.0,7 Seas Brewing Company,Gig Harbor, WA
58,0.054,30.0,British Pale Ale (2010),English Pale Ale,16.0,7 Seas Brewing Company,Gig Harbor, WA
59,0.054,30.0,British Pale Ale,English Pale Ale,16.0,7 Seas Brewing Company,Gig Harbor, WA
60,0.084,82.0,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,7 Seas Brewing Company,Gig Harbor, WA
61,0.038,7.8,Wolfman's Berliner,Berliner Weissbier,12.0,7venth Sun,Dunedin, FL
